1.262430949999999967e+02 1.083903490000000005e+02 2.546577530000000138e+02
1.225948759999999993e+02 1.053201490000000007e+02 2.465021820000000048e+02
1.190000339999999994e+02 1.022948640000000040e+02 2.384828339999999969e+02
1.154585689999999971e+02 9.931449299999999880e+01 2.305997099999999875e+02
1.119704810000000066e+02 9.637903599999999926e+01 2.228528100000000052e+02
1.085357699999999994e+02 9.348849300000000540e+01 2.152421329999999955e+02
1.051544370000000015e+02 9.064286500000000046e+01 2.077676789999999869e+02
1.018264800000000037e+02 8.784215100000000120e+01 2.004294490000000053e+02
9.855190100000000086e+01 8.508635099999999341e+01 1.932274429999999938e+02
9.533069899999999564e+01 8.237546500000000549e+01 1.861616600000000119e+02
9.216287300000000471e+01 7.970949400000000651e+01 1.792321010000000001e+02
8.904842499999999461e+01 7.708843699999999899e+01 1.724387649999999894e+02
8.598735499999999377e+01 7.451229399999999714e+01 1.657816520000000082e+02
8.297966099999999301e+01 7.198106599999999844e+01 1.592607629999999972e+02
8.002534400000000403e+01 6.949475200000000541e+01 1.528760980000000131e+02
7.712440499999999588e+01 6.705335200000000384e+01 1.466276560000000018e+02
7.427684299999999951e+01 6.465686599999999373e+01 1.405154379999999890e+02
7.148265700000000322e+01 6.230529500000000098e+01 1.345394430000000057e+02
6.874184900000000198e+01 5.999863799999999969e+01 1.286996709999999950e+02
6.605441799999999830e+01 5.773689499999999697e+01 1.229961229999999972e+02
6.342036399999999929e+01 5.552006699999999739e+01 1.174287989999999979e+02
6.083968800000000243e+01 5.334815300000000349e+01 1.119976979999999998e+02
5.831238799999999856e+01 5.122115300000000104e+01 1.067028210000000001e+02
5.583846599999999682e+01 4.913906699999999717e+01 1.015441670000000016e+02
5.341792000000000229e+01 4.710189600000000354e+01 9.652173700000000167e+01
5.105075200000000279e+01 4.510963900000000137e+01 9.163553000000000281e+01
4.873696100000000087e+01 4.316229599999999778e+01 8.688554700000000253e+01
4.647654699999999650e+01 4.125986699999999985e+01 8.227178700000000333e+01
4.426950999999999681e+01 3.940235299999999796e+01 7.779425100000000270e+01
4.211585000000000178e+01 3.758975300000000175e+01 7.345293800000000317e+01
4.001556800000000180e+01 3.582206800000000158e+01 6.924784900000000221e+01
3.796866200000000191e+01 3.409929600000000249e+01 6.517898300000000233e+01
3.597513399999999706e+01 3.242143899999999945e+01 6.124634100000000103e+01
3.403498299999999688e+01 3.078849599999999853e+01 5.744992200000000082e+01
3.214820799999999679e+01 2.920046800000000076e+01 5.378972699999999918e+01
3.031481099999999884e+01 2.765735300000000052e+01 5.026575499999999863e+01
